"","WT_t0_","WT_t0.5_","chl1_t0_","chl1_t0.5_"
"AT5G07680",4.66810914325563,7.55869128694411,4.70956748399884,6.23296063640269
"AT1G43650",6.09922887778447,7.07236345676237,5.94960739517341,6.79530750730113
"AT5G02230",9.7224544993929,11.54660221268,9.75251773210252,11.6528866570725
"AT4G26690",9.08322647806279,10.5153060761454,9.0807444749137,10.4584109330496
"AT5G10820",8.27543688473644,9.24257457210042,8.34789561631088,8.97039991851673
"AT5G51830",7.92007420524504,9.56309075585473,7.8822637191784,8.81274618848641
"AT5G08010",6.21234161086768,8.28770701383985,6.46761536449882,7.53202540942335
"AT3G63010",9.52793855887396,8.74331407148789,9.48724230763473,8.88916125828278
"AT3G11410",8.89126997672654,9.90657565203605,8.92770741526341,9.64668619847475
"AT3G02850",4.8862769055994,7.07067221149053,4.96115191307214,6.077558838264
"AT1G62180",9.01887063711992,10.5534794619159,8.97761778188754,10.3207392472947
"AT5G37260",7.47313592421305,9.23259048073714,7.58008673028291,9.12734329053926
"AT3G12700",8.39449402988025,9.97768371394067,8.44580552096629,9.44384663969746
"AT5G35630",9.8161689819896,10.6320049748675,9.80163852568014,10.2110308477373
